State,Wells Fracked,Hydrocholoric Acid Used (thousand pounds),Methanol Used (thousand pounds),Wastewater Produced in 2014 (million gallons),Water Consumed (million gallons),Methane Released from Well Completion in 2014 (million pounds),Land Disturbed (acres)
Arkansas,6496,142406,2025,unavailable,11290,144,22858
California,3405,1034,489,1057,237,140,15940
Colorado,22615,68663,10042,3139,19142,395,105866
Louisiana,2883,15136,2045,unavailable,4880,50,16010
New Mexico,4318,70798,4403,8592,3132,125,35273
North Dakota,8224,82198,88168,unavailable,14891,517,33718
Ohio,1594,105447,1942,313,7771,136,9118
Oklahoma,7421,455225,17147,unavailable,19582,546,41210
Pennsylvania,9233,1806032,5396,1821,24732,295,52813
Texas,54958,2148789,302501,unavailable,120215,2521,257272
Utah,4949,35926,1414,unavailable,916,186,35478
West Virginia,2670,64134,1174,unavailable,7651,88,15272
Wyoming,7277,18074,5870,70,2528,116,29836
